OTUId	10_Tt_Microcerotermes_parvus	11_Tt_Microcerotermes_sp	12_Tt_Neocapritermes	13_Tt_Ophiotermes_sp	14_Tt_Proboscitermes	15_Nt_Atlantitermes_sp	16_Nt_Nasutitermes_corniger	17_Nt_Nasutitermes_takasagoensis	18_Nt_Nasutitermitinae_Unclassified	19_Nt_Trinervitermes_sp	1_Mt_Macrotermes_sp	2_Mt_Macrotermes_subhyalinus	3_Mt_Odontotermes_sp	4_St_Cornitermes_sp	5_At_Apicotermes_trestus	6_Tt_Termes_hospes	7_Tt_Cubitermes_sp	8_Tt_Cubitermes_ugandensis	9_Tt_Amitermes_meridionalis
OTU_1	1682	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0
OTU_2	1273	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_5	767	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_67	134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_65	132	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0
OTU_53	167	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
OTU_7	703	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_50	177	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_77	125	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU_73	129	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
OTU_336	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_773	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_644	23	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0
OTU_114	98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_95	113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1273	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_731	22	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
OTU_264	89	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_49	257	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_220	57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_346	74	0	0	0	0	1	0	0	1	0	0	0	0	0	0	2	0	0	0
OTU_319	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_529	43	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU_803	17	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_74	126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
OTU_3035	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1785	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_2325	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1146	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1546	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_903	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_26219	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_14876	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_14413	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_403	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_15880	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_31173	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_687	23	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0
OTU_25924	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_5388	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1046	20	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
OTU_3092	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_13808	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_232	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_31778	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_14444	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_3800	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_20829	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_28792	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_35308	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_3214	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_25272	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1991	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_32292	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_5278	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_10680	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_28811	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_25845	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_20029	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_298	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
