TestedHost	AdaptedHost	Comparison	set	passage	bioRep	Rep1.1	Rep1.2	Rep1.3	Rep1.4	mean1	sd1
C6/36	Huh7	Alternative	A	1	1	12630	15220	13070	12860	13445	1196.89877
C6/36	Huh7	Alternative	A	2	1	6607	7694	7349	7655	7326.25	503.7045265
C6/36	Huh7	Alternative	A	3	1	23.16	25.34	28.17	25.97	25.66	2.061439626
C6/36	Huh7	Alternative	A	4	1	1150	1168	1319	1331	1242	96.24621205
C6/36	Huh7	Alternative	A	5	1	2382	2410	2649	2707	2537	164.9222039
C6/36	Huh7	Alternative	A	6	1	1602	1984	2133	2321	2010	304.9535484
C6/36	Huh7	Alternative	A	7	1	1504	1576	1712	1845	1659.25	150.9069802
C6/36	Huh7	Alternative	A	8	1	709.7	822.9	779.8	956.1	817.125	103.7315245
C6/36	Huh7	Alternative	A	9	1	3711	3850	4156	4306	4005.75	273.1670734
C6/36	Huh7	Alternative	B	1	1	4308	5499	4725	4362	4723.5	549.1584471
C6/36	Huh7	Alternative	B	2	1	10510	14160	12700	12380	12437.5	1500.49714
C6/36	Huh7	Alternative	B	3	1	7100	8320	8420	8370	8052.5	636.3109827
C6/36	Huh7	Alternative	B	4	1	8054	9066	9417	9302	8959.75	621.258065
C6/36	Huh7	Alternative	B	5	1	6531	7882	7484	7730	7406.75	606.4263489
C6/36	Huh7	Alternative	B	6	1	352.7	444.2	469.8	487.8	438.625	60.01179745
C6/36	Huh7	Alternative	B	7	1	774.8	923.9	944.2	1024	916.725	104.014402
C6/36	Huh7	Alternative	B	8	1	371.4	458.4	480.4	540.9	462.775	70.19659892
C6/36	Huh7	Alternative	B	9	1	516.3	512.6	603.3	603.3	558.875	51.31980612
Huh7	C6/36	Alternative	A	1	1	7062	8406	9138	7070	7919	1029.300734
Huh7	C6/36	Alternative	A	2	1	5045	5114	6708	5706	5643.25	769.3371064
Huh7	C6/36	Alternative	A	3	1	7940	7919	10430	8486	8693.75	1186.886789
Huh7	C6/36	Alternative	A	4	1	7455	7911	11390	9296	9013	1767.482767
Huh7	C6/36	Alternative	A	5	1	5927	6382	7517	7123	6737.25	716.3613497
Huh7	C6/36	Alternative	A	6	1	2789	2993	3797	3627	3301.5	486.243766
Huh7	C6/36	Alternative	A	7	1	3944	3722	4785	4536	4246.75	496.7892746
Huh7	C6/36	Alternative	A	8	1	1959	2086	2696	2677	2354.5	386.9285033
Huh7	C6/36	Alternative	A	9	1	1722	1590	1976	1915	1800.75	177.3722545
Huh7	C6/36	Alternative	B	1	1	6175	8100	7467	6613	7088.75	861.5831842
Huh7	C6/36	Alternative	B	2	1	3867	4707	4889	4420	4470.75	446.4066718
Huh7	C6/36	Alternative	B	3	1	6228	7732	7953	6967	7220	784.7517654
Huh7	C6/36	Alternative	B	4	1	13720	15970	18010	15840	15885	1752.341291
Huh7	C6/36	Alternative	B	5	1	8956	11560	12390	10460	10841.5	1484.895844
Huh7	C6/36	Alternative	B	6	1	3780	5411	5486	5438	5028.75	833.0775774
Huh7	C6/36	Alternative	B	7	1	2353	2630	2847	2874	2676	241.4470266
Huh7	C6/36	Alternative	B	8	1	2248	3145	3088	3410	2972.75	503.1244876
Huh7	C6/36	Alternative	B	9	1	544	614.1	639.1	681.2	619.6	57.50484038
Huh7	Huh7	Adapted	A	1	2	4049	4624	4314	4154	4285.25	250.7447241
Huh7	Huh7	Adapted	A	2	2	5615	5518	6071	6426	5907.5	421.4423646
Huh7	Huh7	Adapted	A	3	2	1485	1422	1677	1719	1575.75	144.5069202
Huh7	Huh7	Adapted	A	4	2	6054	5389	6331	6379	6038.25	455.9191266
Huh7	Huh7	Adapted	A	5	2	9039	8171	10020	9274	9126	761.7379252
Huh7	Huh7	Adapted	A	6	2	5173	5739	6907	7103	6230.5	927.143822
Huh7	Huh7	Adapted	A	7	2	8570	7774	9591	9131	8766.5	782.3743776
Huh7	Huh7	Adapted	A	8	2	9512	9346		13090	10649.33333	2115.308331
