CellLine	P1	P2	P3	P4	P5	P6	P7	P8	P9	Population	Rep
Huh7	21000	80000	30000	300000	1400000	1900000	2900000	8000000	10000000	Huh A	1
C6/36	35000	50000	4000	190000	310000	700000	370000	700000	900000	Huh A	1
HepG2	50000	160000	15000	290000	400000	580000	1000000	2600000	3300000	Huh A	1
Vero	70000	160000	31000	700000	1000000	600000	2000000	4700000	5100000	Huh A	1
Hu751	90000	600000	40000	700000	2200000	1400000	2400000	10000000	15000000	Huh A	1
Huh7	80000	1700000	2800000	1800000	5300000	1500000	8000000	5000000	7000000	Huh B	1
C6/36	15000	120000	270000	300000	1000000	170000	600000	600000	700000	Huh B	1
HepG2	41000	210000	540000	540000	2600000	500000	2800000	2000000	1200000	Huh B	1
Vero	90000	590000	700000	1400000	6700000	2400000	6400000	4500000	3300000	Huh B	1
Hu751	40000	640000	1900000	1200000	5900000	2000000	5000000	6000000	4000000	Huh B	1
Huh7	51000000	67000000	66000000	54000000	96000000	59000000	101000000	140000000	66000000	C6/36 A	1
C6/36	39000000	64000000	55000000	61000000	130000000	210000000	360000000	370000000	110000000	C6/36 A	1
HepG2	22000000	30000000	22000000	14000000	30000000	18000000	10000000	24000000	14000000	C6/36 A	1
Vero	3700000	6300000	7400000	24000000	46000000	20000000	50000000	90000000	45000000	C6/36 A	1
Hu751	47000000	71000000	72000000	88000000	83000000	75000000	101000000	112000000	77000000	C6/36 A	1
Huh7	22000000	27000000	42000000	36000000	27000000	22000000	32000000	25000000	40000000	C6/36 B	1
C6/36	20000000	30000000	48000000	60000000	70000000	110000000	120000000	140000000	180000000	C6/36 B	1
HepG2	10400000	8000000	8800000	11000000	5800000	9000000	7800000	7800000	10800000	C6/36 B	1
Vero	2700000	1800000	2000000	2300000	4600000	4400000	5300000	4000000	4200000	C6/36 B	1
Hu751	20000000	40000000	57000000	53000000	42000000	32000000	47000000	34000000	66000000	C6/36 B	1
Huh7	70000	420000	37000	50000	1100000	1000000	2100000	5000000	5900000	Huh A	2
C6/36	30000	150000	10000	190000	310000	150000	400000	1300000	1010000	Huh A	2
HepG2	14000	90000	12000	300000	280000	210000	500000	800000	4600000	Huh A	2
Vero	100000	460000	80000	720000	1000000	1000000	1800000	2900000	3400000	Huh A	2
Hu751										Huh A	2
