	D1	D2	D3	D4	C1	C2	C3	C4	H1	H2	H3	H4
1433b	4781	5634	4042	3387	1281	2591	11088	11088	7322	2808	4735	2877
1433f	1047	1452	916	767	373	611	2226	2226	1053	369	430	317
1433t	1979	2214	2748	1263	524	948	4713	4713	5514	2012	3688	2259
1433z	6781	9116	5464	4950	1468	2152	8020	8020	11864	4279	7678	4188
1a1l1	63	73	96	68	25	29	77	77	275	93	104	72
2a5b	203	171	102	89	369	522	2773	2773	172	59	133	52
2a5d	866	806	582	462	258	448	1267	1267	1500	563	939	514
2a5g	1201	1661	1160	792	259	512	3264	3264	1953	677	1025	508
2aaa	784	586	347	375	143	342	1009	1009	1260	412	974	393
2aab	833	738	422	499	268	565	3566	3566	565	177	272	178
2aba	541	654	500	349	188	289	1147	1147	875	270	520	289
2abd	274	293	268	151	87	120	348	348	155	67	132	65
2-Sep	1025	1050	971	837	464	766	3632	3632	1986	564	1496	701
3bhs7	45	60	83	38	103	106	240	240	176	35	227	62
3bp1	455	383	221	264	280	402	1012	1012	135	41	48	35
3bp2	266	193	115	146	320	179	193	193	283	94	202	96
3bp5	1672	3034	1715	1018	256	652	986	986	2974	809	1746	906
3bp5l	89	139	76	81	114	153	376	376	100	18	69	33
3hidh	300	397	213	206	99	199	983	983	741	320	413	207
41	3555	3324	2615	2199	853	2063	14011	14011	3170	958	2381	1070
4et	374	373	305	213	89	132	533	533	348	87	270	115
4f2	361	278	368	225	283	690	2523	2523	1367	342	697	369
4-Sep	62	94	97	59	101	122	270	270	358	140	278	145
5nt3a	652	225	114	170	483	1246	11804	11804	737	225	452	241
5nt3b	414	301	297	183	87	133	316	316	320	104	194	101
5ntc	825	1184	767	559	66	134	768	768	1736	440	1762	598
6pgd	969	582	448	534	272	550	1196	1196	1241	378	895	466
6-Sep	471	355	153	225	52	94	163	163	557	143	339	132
7-Sep	5044	7825	4477	4330	689	1103	7233	7233	6929	2545	4952	1954
8-Sep	103	87	50	79	48	203	1333	1333	67	13	68	21
9-Sep	1428	888	507	679	699	1326	1868	1868	1977	588	1385	660
a16a1	541	582	345	268	170	198	466	466	410	166	209	105
a16l1	399	496	553	287	167	200	319	319	72	24	55	23
a16l2	101	163	113	60	65	76	102	102	35	11	34	13
a4	1300	2079	2010	917	263	772	2276	2276	1619	561	1404	609
aa2ar	66	59	30	40	16	34	44	44	64	50	30	34
aaas	109	108	58	64	89	137	445	445	164	62	73	33
aaat	264	307	277	159	331	1020	5435	5435	593	168	446	205
aacs	171	207	61	119	109	202	515	515	869	221	626	208
aaed1	25	21	14	12	49	89	337	337	298	114	240	116
aak1	16	15	6	18	10	10	95	95	109	21	83	44
aakb1	43	31	16	16	198	293	919	919	214	66	148	86
aakg2	365	383	290	267	21	49	103	103	511	169	306	177
aapk1	678	950	608	585	189	336	1774	1774	530	177	343	190
aar2	326	274	197	170	64	133	403	403	452	203	365	180
aasd1	752	1027	442	490	249	584	2396	2396	991	308	658	352
aatc	346	371	255	201	33	52	204	204	368	137	318	147
aatf	383	373	262	241	86	187	706	706	398	146	230	180
aatm	1421	1571	1690	981	236	535	2061	2061	1334	470	874	458
ab17a	630	712	389	331	277	526	1298	1298	277	120	242	101
ab17b	390	489	298	218	74	93	268	268	389	127	249	126
ab1ip	229	154	232	138	168	238	515	515	611	191	542	227
abca1	139	209	611	191	273	808	3435	3435	1633	605	721	510
abca2	216	230	171	173	155	168	220	220	460	94	239	178
abca3	408	497	241	291	162	305	689	689	305	46	176	109
abca5	365	661	427	315	87	152	512	512	176	24	116	49
abca6	1758	4179	12624	2551	33	67	186	186	95	17	55	43
abca7	276	300	211	163	774	905	3319	3319	266	62	103	81
abcb6	65	54	35	16	463	605	1825	1825	143	42	159	46
abcb7	481	689	490	441	328	564	4092	4092	1203	416	775	391
abcb8	272	193	119	121	73	144	345	345	211	77	156	66
abcba	232	159	118	62	169	544	7227	7227	462	110	376	103
abcc9	108	125	169	90	104	169	667	667	79	21	72	44
abcd1	197	157	110	94	111	163	323	323	217	89	145	88
abcd2	86	90	81	65	30	50	221	221	445	171	367	168
abcd3	420	710	406	401	149	225	1004	1004	389	123	327	126
abcd4	36	50	44	16	97	173	358	358	282	93	231	94
abce1	1387	2080	1581	1021	367	763	4676	4676	2712	997	1694	880
abcf1	980	1050	1144	604	411	553	2009	2009	816	196	467	350
abcf2	330	281	230	151	135	293	1030	1030	475	149	305	177
abcf3	234	219	112	121	183	216	696	696	585	162	398	207
abcg1	572	473	866	310	110	141	228	228	1219	502	980	517
abcg2	167	111	59	36	41	107	962	962	317	85	232	68
abd12	352	241	472	200	74	197	489	489	137	55	166	62
abhd1	372	456	355	183	246	328	672	672	49	17	42	8
abhd2	201	165	89	115	189	423	1061	1061	155	38	181	99
abhd3	1020	1213	632	778	25	36	38	38	75	22	26	23
abhd4	489	470	614	340	153	422	2490	2490	1276	453	814	390
abhd5	128	144	96	89	256	384	1693	1693	685	244	461	240
abhd6	60	84	46	74	21	61	279	279	146	48	178	88
abhd8	166	214	125	106	80	135	259	259	63	28	78	33
abhdd	469	690	633	385	216	414	1579	1579	137	32	118	58
abhga	289	327	247	209	149	303	547	547	656	173	529	210
abi1	700	823	515	434	46	52	301	301	918	254	639	325
abi2	40	33	70	16	60	87	306	306	38	11	45	14
abi3	510	651	694	394	350	448	545	545	1144	434	835	324
abl1	361	303	198	196	123	209	502	502	428	107	229	134
abl2	51	63	39	52	17	15	93	93	35	1	33	14
ablm1	889	969	204	684	102	100	277	277	748	157	311	232
abr	531	450	321	434	220	307	720	720	1572	520	1053	596
abt1	120	113	84	83	51	103	458	458	1120	541	774	370
abtb1	252	360	229	202	130	150	229	229	221	75	137	79
acaca	338	332	134	196	65	131	419	419	446	109	359	210
acad8	98	125	99	89	101	129	459	459	133	31	76	39
acad9	859	849	653	628	311	401	1079	1079	441	154	243	158
acads	179	156	172	115	80	87	188	188	353	124	287	117
acadv	200	203	174	87	101	151	501	501	126	29	113	43
acap1	794	1146	391	517	1174	790	724	724	1237	399	387	281
acap2	203	253	127	200	60	93	603	603	373	115	358	163
acap3	146	159	115	101	75	91	158	158	173	46	98	37
acatn	96	102	57	54	78	202	654	654	452	135	334	156
acbd4	85	139	55	65	22	24	23	23	123	45	96	19
acbd5	163	182	104	137	74	138	496	496	664	190	542	250
acbd6	151	275	199	121	48	99	387	387	191	78	161	56
acd	44	57	13	13	11	29	67	67	68	20	37	26
acd10	153	151	72	40	37	34	134	134	29	14	23	15
acd11	111	152	122	68	24	49	187	187	46	6	38	30
acdsb	775	1140	820	661	40	84	175	175	241	79	201	82
ace	32	78	260	32	72	161	400	400	52	5	18	18
acer3	81	100	107	59	66	159	1685	1685	275	65	275	105
acinu	1142	1392	1015	836	638	816	2005	2005	1201	339	633	366
ack1	382	324	239	210	179	314	878	878	307	65	103	80
acl6a	1547	2710	1014	1189	208	341	2256	2256	1065	395	792	332
acly	1184	1395	732	778	199	322	1667	1667	1919	504	1242	590
aco11	203	308	139	144	106	85	137	137	32	7	16	10
acoc	229	180	173	166	368	649	2783	2783	720	382	672	389
acod2	300	392	404	212	342	678	3441	3441	2055	710	891	601
acon	828	859	575	464	317	636	2357	2357	1812	484	911	555
acot2	25	35	9	19	25	75	502	502	303	84	249	73
acot8	39	52	13	20	26	56	162	162	94	33	60	29
acot9	324	465	371	268	83	146	445	445	1323	627	1124	553
acox1	650	859	694	663	168	297	849	849	2675	789	2047	907
acox3	285	204	153	127	58	89	195	195	61	21	19	16
acph	548	488	250	258	237	423	1500	1500	955	311	677	311
acs2l	736	1545	1439	377	212	411	1542	1542	1273	321	695	283
acsa	46	59	11	38	14	27	53	53	94	30	51	31
acsf2	548	670	366	292	301	373	519	519	3287	1172	1891	731
acsf3	120	115	37	56	106	119	270	270	180	46	174	47
acsf4	455	1032	293	472	57	88	503	503	163	63	184	57
acsl1	332	473	336	254	170	548	4494	4494	214	57	157	110
acsl3	592	727	595	386	64	125	688	688	514	212	318	181
acsl4	1138	1693	1660	916	219	395	1741	1741	1070	391	913	441
acsl5	780	800	802	565	316	639	2141	2141	1534	480	976	501
acss3	21	82	65	24	5	17	20	20	115	15	127	32
actg	35255	26011	14335	17353	3188	5868	16588	16588	61064	21694	41125	22662
actn1	1310	1080	1212	663	127	269	477	477	1115	272	1019	411
actn4	337	303	240	213	252	556	2427	2427	1036	276	741	318
acty	119	112	76	54	147	239	429	429	475	168	322	191
